,Date,Object,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Confidence_1,Confidence_2,Confidence_3,Confidence_4,Confidence_5,Confidence_6,Regression_2,Regression_3,Regression_5,Regression_6,Source,Row,Empty,CR
66315,1904-06-12,Sunspot,11.0,-58.7,334.6,14.9,313.5,307.5,0.04,0.06,0.06,0.03,1.0,1.0,False,True,False,False,Z1903-1905_Page_0457,57,False,678.3890449594675
66316,1904-06-12,Sunspot,11.2,-85.2,1.1,15.8,6.6,304.1,0.74,0.17,0.17,0.15,0.05,0.05,True,False,False,True,Z1903-1905_Page_0457,58,False,678.3890449594675
66317,1904-06-12,Sunspot,7.3,-14.9,290.8,11.7,39.9,303.9,0.73,0.12,0.12,0.18,1.0,1.0,False,True,False,False,Z1903-1905_Page_0457,59,False,678.3890449594675
66318,1904-06-12,Sunspot,8.6,-13.2,289.1,12.9,2.8,302.1,0.72,0.26,0.26,0.18,0.08,0.08,False,True,False,True,Z1903-1905_Page_0457,60,False,678.3890449594675
66319,1904-06-12,Sunspot,16.7,-19.8,295.7,19.0,29.7,287.7,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0457,61,False,678.3890449594675
66320,1904-06-12,Sunspot,17.8,-18.7,294.6,20.5,32.6,286.6,0.75,0.25,0.25,0.08,0.18,0.18,False,True,True,False,Z1903-1905_Page_0457,62,False,678.3890449594675
66321,1904-06-12,Sunspot,1.6,-17.8,293.7,17.7,221.9,285.9,0.09,0.23,0.23,0.31,1.0,1.0,False,True,False,False,Z1903-1905_Page_0457,63,False,678.3890449594675
66322,1904-06-12,Sunspot,15.3,-13.4,289.3,17.7,29.9,283.4,0.41,0.03,0.03,0.09,1.0,1.0,False,True,False,False,Z1903-1905_Page_0457,64,False,678.3890449594675
66323,1904-06-12,Sunspot,17.4,-87.0,2.9,19.9,8.2,283.3,0.63,0.06,0.06,0.05,0.06,0.06,True,False,False,True,Z1903-1905_Page_0457,65,False,678.3890449594675
66324,1904-06-12,Sunspot,4.7,26.1,249.8,2.3,248.2,242.2,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0458,1,False,678.3890449594675
66325,1904-06-12,Sunspot,14.4,29.3,246.6,11.6,245.2,239.2,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0458,2,False,678.3890449594675
66326,1904-06-12,Sunspot,11.4,-64.6,340.5,17.9,339.8,333.8,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,False,Z1903-1905_Page_0458,3,False,678.3890449594675
